repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study
collaboratory	FI811263	6bf72846-ead4-57f8-8796-61a7e6e46927	BAM	1de77684595b1fe0082117b0daad007b.LP6005333-DNA_D02.bam	99179838076	1de77684595b1fe0082117b0daad007b		DO50403	ESAD-UK	
collaboratory	FI811213	9a6e2e5f-2c2b-5a33-bc96-c43949038204	BAM	953162f0176422b0a388055fdbbaaf0b.LP6007437-DNA_A01.bam	119315317308	953162f0176422b0a388055fdbbaaf0b		DO50309	ESAD-UK	
collaboratory	FI811197	b718b190-6a16-50a5-a0c5-1a9474ac4589	BAM	73996485bd4af4720fd6d4fbe89f8ce0.LP6005935-DNA_A02.bam	160633546926	73996485bd4af4720fd6d4fbe89f8ce0		DO229530	ESAD-UK	
collaboratory	FI811170	e8ec49a6-823c-5fdb-a39c-d5a5e6d2c858	BAM	d340a43f211095192fdc859aa4172aa3.LP6008264-DNA_A02.bam	60800829557	d340a43f211095192fdc859aa4172aa3		DO229500	ESAD-UK	
collaboratory	FI811128	ab425b91-85a2-5a45-a758-5e3e630d9b32	BAM	2d639ee9f51394eedf5f931ae92998d3.LP6008201-DNA_E02.bam	61078880656	2d639ee9f51394eedf5f931ae92998d3		DO229458	ESAD-UK	
collaboratory	FI807425	d0298ec1-372c-5786-9697-c4ca0892d0e6	BAM	414d167047664c11f2c989e264f4c0bc.LP6007397-DNA_A01.bam	121863904068	414d167047664c11f2c989e264f4c0bc		DO227823	ESAD-UK	
collaboratory	FI811310	a88c934c-4dd3-5fe4-bc28-c39a16744345	BAM	95af6c1c4a2ddace849ba75b5ac0e062.LP6008268-DNA_C07.bam	77687831173	95af6c1c4a2ddace849ba75b5ac0e062		DO229511	ESAD-UK	
collaboratory	FI811317	f37be2eb-3863-5f90-ab8f-fd6617e261d3	BAM	3df97bce104b54a66aba3ace0d10b7de.LP6005500-DNA_G02.bam	182152054573	3df97bce104b54a66aba3ace0d10b7de		DO227926	ESAD-UK	
collaboratory	FI811245	bb5af416-95eb-5fed-aba8-b4a3a4036877	BAM	bfd295d55ae9cad460814e9565fbbec8.SM-4JPUY.bam	233690652194	bfd295d55ae9cad460814e9565fbbec8		DO227479	ESAD-UK	
collaboratory	FI811251	eee12f4e-3466-5c81-ae05-4b252c64afa3	BAM	39f920b1c2c3f0523c6336a818077273.LP6007434-DNA_A01.bam	248354479198	39f920b1c2c3f0523c6336a818077273		DO227559	ESAD-UK	
