project	donor_id	file_id	object_id	bundle_id	file_name
LUSC-KR	DO224619	FI815486	6317bd9d-89aa-5607-b3ca-31b2a9feb4a5	EGAR00001658235	7b517cf2d7798e33fc0eb46da66d269c.J76-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224548	FI815451	25ff83b3-3b91-5158-85ee-11c4f2b27a0c	EGAR00001658196	55b6a6e1bce15f79d6e95f4c5054fafb.J11-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224570	FI815452	181220f3-f213-503a-8802-68146ca30b0d	EGAR00001658208	511204d411cf932d16bb49469d3cddc4.J32-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224613	FI815458	69b72b9d-36a9-52ed-94a5-33f2860ccf92	EGAR00001658230	1330fe34127d9b4764c08dbc54067d30.J74-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224589	FI815456	d00713f7-caf6-5511-8264-5bc3fde47e1f	EGAR00001658220	590574684e59243bf645e91f2a92c61d.J54-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224615	FI815462	fcb14269-29cb-5dff-8153-aa9fab03c7d0	EGAR00001658232	1c8d7ee4865ee6645ed14f08233a65e5.J75-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224563	FI815460	459cd3fa-ef52-5d62-816b-1be7111d68cd	EGAR00001658204	ad40d347fcd4bf37d3dd2955d1ee50a2.J30-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224626	FI815491	65864841-c68c-5eb6-9907-635fcbb5a147	EGAR00001658240	da49b2bff4430499d3c4ac256c0a2f0a.J85-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224546	FI815493	9aebb9d1-da7b-585b-95cc-6afec8bcaf84	EGAR00001658195	d0482406164f787f07b2d561c4516242.J10-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224572	FI815450	91e75c99-b574-5e80-babe-9f520b9de2a3	EGAR00001658210	1f0fe4d8a42fa25649e10ce47a5c2426.J33-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224621	FI815461	31f8e936-101a-5b8c-8f53-70914f3ca3df	EGAR00001658236	8a7ac056360e41beb9b021fb52308e39.J80-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224563	FI815483	5c68e794-09eb-5e30-b273-c4201aa69f15	EGAR00001658205	03d6046432b5b9d2115aa581bf8d29d5.J30-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224576	FI815473	8788d302-b845-5739-8e94-1671da656a11	EGAR00001658213	938444249709f9801bc4acb214ad50bc.J36-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224544	FI815447	cf5a4d82-8d2a-58c4-845a-2d6be3f2f51f	EGAR00001658192	5a7520f3d0311787dc81d1914d24c5e7.J9-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224539	FI815445	b004df2f-44c0-54e7-a2ae-148eb2df7897	EGAR00001658189	99bf8f7b5638ac23f44a4ffc0943e405.J1-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224581	FI815465	070dedbf-7e95-53f9-9385-be8993c34464	EGAR00001658216	c4a0a846f298804fdaf1326083ff683a.J46-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224584	FI815469	2fe7ac50-3bb8-5666-89a6-d492af020060	EGAR00001658218	83ead9b942ed96b863e5ad340c501037.J52-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224621	FI815489	c6d4e1cd-8373-5499-a2a5-f9056789d5d6	EGAR00001658237	989d5f343f97353def5c5bfaad09f67a.J80-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224632	FI815494	4fd7fa7d-4b66-5b4c-86bb-2f15e7adeec4	EGAR00001658245	b0dbf553f8387fda1d134c55b6a76f5c.J88-T_60x_sort_dup_rea_recal.bam
