project	donor_id	file_id	object_id	bundle_id	file_name
ESAD-UK	DO227559	FI811251	eee12f4e-3466-5c81-ae05-4b252c64afa3	EGAR00001193183	39f920b1c2c3f0523c6336a818077273.LP6007434-DNA_A01.bam
ESAD-UK	DO50437	FI811142	ca9d2a8d-28dd-5d0f-a8d5-12eeeaa4a7d4	EGAR00001192964	dbc4ab5dec1f112005bb91f801c8a829.LP6005408-DNA_G03.bam
ESAD-UK	DO50338	FI811139	cd848130-9ebb-588a-8b7b-b46f0479b57f	EGAR00001193703	70d49918199c5fa68418b3723a8a2f27.LP6007537-DNA_A01.bam
ESAD-UK	DO227797	FI811154	69734602-0a84-5a02-b6b4-d7e6c74a0972	EGAR00001193709	6c18567f05ca97e0403dfdecdaf5ac9d.LP6007549-DNA_A01.bam
ESAD-UK	DO229434	FI811156	25963a36-e2b0-5fb5-be1f-23c1ce26d2ff	EGAR00001566563	a056df99e3f76df54eb436cfd50255a2.LP6008268-DNA_G06.bam
ESAD-UK	DO229532	FI811167	d0c1463e-6ba4-5959-aa76-9155a48133ee	EGAR00001253336	19fb5d8a25742de6e8aea6fb822bed98.LP6005934-DNA_B02.bam
ESAD-UK	DO229514	FI811176	b87ca864-4ce2-5694-9f19-a6f009663f77	EGAR00001566565	b76a4cb64be7304b6ac9127ecbf66a39.LP6008268-DNA_A07.bam
ESAD-UK	DO227922	FI811174	d9972cef-1872-5710-8710-8f8fbbb7df9c	EGAR00001193109	5564650041f91153381c0de8c897a13f.LP6005689-DNA_E03.bam
ESAD-UK	DO227847	FI811269	a91a7cb0-e2ba-5cdb-a5b4-3adf38038e79	EGAR00001253366	7cfa48476d8f489b055c46f934ed85b6.LP2000317-DNA_A01.bam
ESAD-UK	DO227500	FI811289	ee2fcd9c-b2ea-5447-af4f-376ff6e6ae17	EGAR00001325047	e681ad22a39be8fc116bf4ad442b6ab7.LP6008031-DNA_E02.bam
ESAD-UK	DO10842	FI811222	5f5f2444-932a-5aae-a2bf-61c7a8a539ac	EGAR00001131283	aa5c69b596ee76b40a232b0c98f60d8e.SS6003115.bam
ESAD-UK	DO227515	FI808421	90c25085-36a2-56da-8ecb-948ff97764cc	EGAR00001192975	cb26ada934e435264da38edbdbda7836.LP6005409-DNA_G02.bam
ESAD-UK	DO227583	FI808285	37538973-216a-54a4-844f-1eea82287643	EGAR00001193180	59615bfebd1731108501585c5c1b8cdf.LP6007409-DNA_A01.bam
ESAD-UK	DO50328	FI811341	02202f82-8bd2-53d5-96ab-3ed1693d44aa	EGAR00001193159	1842a27eea02aba6dde63fcf795a3c08.LP6007400-DNA_A01.bam
ESAD-UK	DO227580	FI811339	29ac156c-b646-50b8-96d2-cbb3c37a7117	EGAR00001193179	f73475fa9b9f91b338e0958185949f02.LP6007407-DNA_A01.bam
ESAD-UK	DO50436	FI811267	17d7de20-89f6-5ef9-bcfb-05ca4a4e0da0	EGAR00001202518	cb0941bfe381a7054743e4962b63790a.LP6005499-DNA_D01.bam
ESAD-UK	DO50396	FI811265	9132dc20-d783-5e72-9061-316746530c97	EGAR00001219094	d0db11d7df73e1a07680b432804ce63f.LP6005333-DNA_G03.bam
ESAD-UK	DO50367	FI811220	23124eff-3f38-5361-ad16-f57b5d1e2ecf	EGAR00001192963	ba69db35811c68a2b870d98d9531de11.LP6005408-DNA_F03.bam
ESAD-UK	DO10855	FI811334	3de98b29-d8e1-5e5b-bb0b-b16f1971e07e	EGAR00001131309	09e6727b93a3049294b4019b899939e7.SS6003318.bam
ESAD-UK	DO50339	FI811234	ebff3fb5-4cf0-5efc-b359-45b6ac480b3c	EGAR00001192929	4347b6959591657eabc649e42b3d4323.LP6007420-DNA_A01.bam
ESAD-UK	DO227723	FI811256	ecaca4ad-2fea-5d70-ab85-e59b0ce1d8fb	EGAR00001202519	3cef6c2b8d41bd668d101aa100941038.LP6005499-DNA_E01.bam
